Location,Process,Technology,Family,PYield,PrimePass,PrimeFail,PrimeHandle,TotYield,TotPass,TotFail,TotHandle,AvgPASSTime
MDB_Jaguariuna,IFLASH,ANDROID-CANCUN23,CANCUN23_BRAZIL,99.92,2,410,2,2,412,99.88,2,430,3,2,433,215
MDB_Jaguariuna,IFLASH,ANDROID-MIAMI22,MIAMI22_ROW,97.55,596,15,611,96.84,643,21,664,261
MDB_Jaguariuna,IFLASH,ANDROID-LONDON23,LONDON23_ROW,99.60,501,2,503,99.43,522,3,525,173
MDB_Jaguariuna,IFLASH,ANDROID-PENANG5G23,PENANG5G23_LATAM,95.12,39,2,41,92.73,51,4,55,243
MDB_Jaguariuna,IFLASH,ANDROID-BORAG22,BORAG22,100,3,,3,100,3,,3,146
MDB_Jaguariuna,IFLASH,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,100,2,,2,100,11,,11,194
MDB_Jaguariuna,IFLASH,ANDROID-RHODE4G22,RHODE4G22_LATAM,0,,,,100,2,,2,249
MDB_Jaguariuna,IFLASH,ANDROID-PENANGPLUS23,PENANGPLUS23_LATAM,0,,,,50,1,1,2,1,748
MDB_Jaguariuna,IFLASH,ANDROID-HAWAII22_PLUS_OLED,HAWAII22_PLUS_OLED_LATAM,0,,,,0,,1,1,
MDB_Jaguariuna,IFLASH,***Total***,***Total***,99.41,3,551,21,3,572,99.11,3,663,33,3,696,218
MDB_Jaguariuna,INLAY,ANDROID-LONDON23,INLAY,96.71,353,12,365,94.10,367,23,390,34
MDB_Jaguariuna,INLAY,***Total***,***Total***,96.71,353,12,365,94.10,367,23,390,34
MDB_Jaguariuna,L2AR,ANDROID-PENANG5G23,PENANG5G23_LATAM,96.36,1,534,58,1,592,94.80,1,604,88,1,692,87
MDB_Jaguariuna,L2AR,ANDROID-CANCUN23,CANCUN23_BRAZIL,94.23,1,273,78,1,351,91.24,1,364,131,1,495,88
MDB_Jaguariuna,L2AR,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,95.54,1,158,54,1,212,93.19,1,218,89,1,307,78
MDB_Jaguariuna,L2AR,ANDROID-BORAG22,BORAG22_LATAM,99.05,524,5,529,98.18,538,10,548,39
